Date,state,average temperature (F)
200101,AL,41.2
200102,AL,52.6
200103,AL,51.4
200104,AL,64.7
200105,AL,70.6
200106,AL,75.8
200107,AL,79.7
200108,AL,78.5
200109,AL,71.9
200110,AL,60.6
200111,AL,58.8
200112,AL,50.6
200201,AL,46.8
200202,AL,46
200203,AL,55
200204,AL,66.4
200205,AL,70.2
200206,AL,77.2
200207,AL,80.3
200208,AL,79.7
200209,AL,77.3
200210,AL,67.8
200211,AL,51
200212,AL,45.2
200301,AL,40
200302,AL,48
200303,AL,57.6
200304,AL,63.3
200305,AL,71.6
200306,AL,75.6
200307,AL,78.5
200308,AL,79.4
200309,AL,73.1
200310,AL,63.5
200311,AL,58.2
200312,AL,44
200401,AL,44.2
200402,AL,45.4
200403,AL,59
200404,AL,61.2
200405,AL,72.7
200406,AL,76.8
200407,AL,79.2
200408,AL,76.3
200409,AL,73.8
200410,AL,68.5
200411,AL,57.8
200412,AL,45.1
200501,AL,49.2
200502,AL,51.2
200503,AL,53.5
200504,AL,61
200505,AL,68.3
200506,AL,76.7
200507,AL,80.4
200508,AL,80.5
200509,AL,76.9
200510,AL,63.8
200511,AL,55.8
200512,AL,43.4
200601,AL,51.1
200602,AL,46.1
200603,AL,56.1
200604,AL,67.5
200605,AL,70.4
200606,AL,78.1
200607,AL,81.9
200608,AL,82.3
200609,AL,72.8
200610,AL,61.9
200611,AL,52.8
200612,AL,49.4
200701,AL,46.7
200702,AL,44.8
200703,AL,60
200704,AL,60
200705,AL,71.2
200706,AL,78.8
200707,AL,79.2
200708,AL,84.4
200709,AL,76
200710,AL,66.5
200711,AL,53.6
200712,AL,51.6
200801,AL,43
200802,AL,49.2
200803,AL,55.2
200804,AL,62.8
200805,AL,70.3
200806,AL,78.7
200807,AL,80
200808,AL,78.4
200809,AL,74.5
200810,AL,62.2
200811,AL,51
200812,AL,49.7
200901,AL,45.3
200902,AL,48.2
200903,AL,57.3
200904,AL,61.4
200905,AL,71.2
200906,AL,79.4
200907,AL,78.1
200908,AL,78
200909,AL,75
200910,AL,62.8
200911,AL,53.4
200912,AL,44.8
201001,AL,40
201002,AL,40.6
201003,AL,51.2
201004,AL,64.2
201005,AL,73.3
201006,AL,80.9
201007,AL,82.6
201008,AL,83
201009,AL,76.9
201010,AL,64.3
201011,AL,55.2
201012,AL,40.3
201101,AL,41.1
201102,AL,49.5
201103,AL,57.8
201104,AL,65.7
201105,AL,69.9
201106,AL,81.2
201107,AL,81.7
201108,AL,81.8
201109,AL,72.1
201110,AL,60.6
201111,AL,55.3
201112,AL,49.3
201201,AL,50.1
201202,AL,52.1
201203,AL,64.6
201204,AL,65
201205,AL,73.4
201206,AL,76.8
201207,AL,81.6
201208,AL,78.1
201209,AL,73
201210,AL,62.2
201211,AL,51.2
201212,AL,50.9
201301,AL,50
201302,AL,48
201303,AL,49.8
201304,AL,62.2
201305,AL,68.2
201306,AL,78
201307,AL,77.7
201308,AL,77.9
201309,AL,75
201310,AL,64.9
201311,AL,51.6
201312,AL,47.9
201401,AL,37.3
201402,AL,47.3
201403,AL,52.3
201404,AL,62.4
201405,AL,70.2
201406,AL,77.9
201407,AL,77.8
201408,AL,79.5
201409,AL,76.3
201410,AL,65.2
201411,AL,48.2
201412,AL,50
201501,AL,43.6
201502,AL,41.3
201503,AL,57.8
201504,AL,66
201505,AL,71.8
201506,AL,78.8
201507,AL,81.6
