Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh
2009,12,AK,Final,"36,139","222,134","270,456",16.27
2009,12,AL,Final,"276,749","2,818,685","2,132,487",9.82
2009,12,AR,Final,"125,142","1,448,385","1,317,936",8.64
2009,12,AZ,Final,"221,494","2,284,523","2,563,532",9.70
2009,12,CA,Final,"1,187,506","8,064,319","13,352,574",14.73
2009,12,CO,Final,"171,793","1,684,839","2,118,365",10.20
2009,12,CT,Final,"229,590","1,152,773","1,451,134",19.92
2009,12,DC,Final,"23,288","173,326","226,030",13.44
2009,12,DE,Final,"49,701","359,938","394,429",13.81
2009,12,FL,Final,"1,039,860","8,508,127","8,491,760",12.22
2009,12,GA,Final,"437,685","4,790,265","4,067,579",9.14
2009,12,HI,Final,"66,752","254,198","414,256",26.26
2009,12,IA,Final,"132,518","1,416,153","1,328,589",9.36
2009,12,ID,Final,"84,372","994,893","662,583",8.48
2009,12,IL,Final,"431,722","4,191,564","5,071,085",10.30
2009,12,IN,Final,"290,160","3,319,328","2,745,206",8.74
2009,12,KS,Final,"108,921","1,241,472","1,210,978",8.77
2009,12,KY,Final,"213,098","2,654,234","1,933,432",8.03
2009,12,LA,Final,"169,120","2,225,408","1,953,390",7.60
2009,12,MA,Final,"259,657","1,769,466","2,671,131",14.67
2009,12,MD,Final,"371,117","2,604,336","2,193,715",14.25
2009,12,ME,Final,"64,334","414,494","697,759",15.52
2009,12,MI,Final,"363,942","3,180,299","4,261,806",11.44
2009,12,MN,Final,"216,959","2,222,012","2,295,018",9.76
2009,12,MO,Final,"259,317","3,492,855","2,690,058",7.42
2009,12,MS,Final,"137,649","1,443,164","1,246,128",9.54
2009,12,MT,Final,"44,916","517,806","468,457",8.67
2009,12,NC,Final,"493,559","5,194,887","4,190,949",9.50
2009,12,ND,Final,"35,887","513,324","324,708",6.99
2009,12,NE,Final,"76,249","999,371","803,886",7.63
2009,12,NH,Final,"62,911","389,006","591,161",16.17
2009,12,NJ,Final,"377,339","2,413,749","3,437,030",15.63
2009,12,NM,Final,"61,200","657,579","849,334",9.31
2009,12,NV,Final,"116,360","895,378","1,056,485",13.00
2009,12,NY,Final,"744,039","4,249,302","6,939,350",17.51
2009,12,OH,Final,"532,813","5,169,938","4,883,376",10.31
2009,12,OK,Final,"152,411","2,083,938","1,649,513",7.31
2009,12,OR,Final,"203,846","2,373,959","1,627,948",8.59
2009,12,PA,Final,"582,745","5,163,331","5,239,494",11.29
2009,12,RI,Final,"40,699","275,160","429,201",14.79
2009,12,SC,Final,"260,727","2,658,736","2,089,327",9.81
2009,12,SD,Final,"38,545","475,062","370,964",8.11
2009,12,TN,Final,"297,341","3,457,983","2,692,458",8.60
2009,12,TX,Final,"1,189,254","10,319,430","9,492,353",11.52
2009,12,UT,Final,"67,805","839,552","936,251",8.08
2009,12,VA,Final,"457,169","4,514,016","3,201,931",10.13
2009,12,VT,Final,"31,770","213,927","306,690",14.85
2009,12,WA,Final,"305,326","3,959,994","2,821,587",7.71
2009,12,WI,Final,"246,323","2,159,047","2,600,605",11.41
2009,12,WV,Final,"103,429","1,290,162","866,734",8.02
2009,12,WY,Final,"24,510","297,399","258,798",8.24
2009,11,AK,Final,"31,380","187,918","270,186",16.70
2009,11,AL,Final,"205,330","2,013,095","2,130,963",10.20
2009,11,AR,Final,"94,642","1,040,407","1,316,993",9.10
2009,11,AZ,Final,"185,697","1,883,894","2,549,653",9.86
2009,11,CA,Final,"830,214","6,122,285","12,495,014",13.56
2009,11,CO,Final,"142,323","1,369,809","2,115,947",10.39
2009,11,CT,Final,"180,005","878,943","1,447,688",20.48
2009,11,DC,Final,"16,369","125,969","224,988",12.99
2009,11,DE,Final,"39,546","272,802","393,832",14.50
2009,11,FL,Final,"1,071,572","8,581,392","8,655,641",12.49
2009,11,GA,Final,"321,787","3,323,433","4,062,652",9.68
2009,11,HI,Final,"67,010","255,499","413,296",26.23
2009,11,IA,Final,"98,890","1,026,946","1,323,700",9.63
2009,11,ID,Final,"58,782","746,601","661,264",7.87
