Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count
2025,4,AK,Preliminary,"41,955","161,625","301,774"
2025,4,AL,Preliminary,"348,726","2,080,965","2,420,894"
2025,4,AR,Preliminary,"150,495","1,105,649","1,491,695"
2025,4,AZ,Preliminary,"374,418","2,380,634","3,146,065"
2025,4,CA,Preliminary,"1,746,822","5,498,000","14,405,178"
2025,4,CO,Preliminary,"219,278","1,404,663","2,511,198"
2025,4,CT,Preliminary,"275,807","854,376","1,569,228"
2025,4,DC,Preliminary,"33,837","158,737","325,128"
2025,4,DE,Preliminary,"61,175","340,598","475,808"
2025,4,FL,Preliminary,"1,519,333","9,952,472","10,562,680"
2025,4,GA,Preliminary,"583,131","3,928,456","4,849,428"
2025,4,HI,Preliminary,"87,976","207,307","447,976"
2025,4,IA,Preliminary,"127,430","949,950","1,471,177"
2025,4,ID,Preliminary,"80,114","673,881","882,379"
2025,4,IL,Preliminary,"519,427","2,835,194","5,377,736"
2025,4,IN,Preliminary,"362,662","2,132,011","3,012,955"
2025,4,KS,Preliminary,"123,135","833,270","1,342,944"
2025,4,KY,Preliminary,"233,268","1,676,861","2,022,749"
2025,4,LA,Preliminary,"264,607","1,965,808","2,165,235"
2025,4,MA,Preliminary,"474,484","1,548,146","2,923,644"
2025,4,MD,Preliminary,"333,130","1,746,084","2,462,600"
2025,4,ME,Preliminary,"112,391","399,822","754,998"
2025,4,MI,Preliminary,"455,864","2,284,806","4,542,960"
2025,4,MN,Preliminary,"241,806","1,599,677","2,612,969"
2025,4,MO,Preliminary,"283,619","2,209,770","2,884,319"
2025,4,MS,Preliminary,"175,366","1,165,346","1,352,118"
2025,4,MT,Preliminary,"51,802","419,995","564,974"
2025,4,NC,Preliminary,"571,270","3,946,100","5,141,400"
2025,4,ND,Preliminary,"41,606","355,885","399,529"
2025,4,NE,Preliminary,"82,249","627,925","920,988"
2025,4,NH,Preliminary,"83,526","353,056","655,724"
2025,4,NJ,Preliminary,"361,262","1,791,925","3,754,663"
2025,4,NM,Preliminary,"68,184","472,201","920,360"
2025,4,NV,Preliminary,"112,282","840,731","1,325,357"
2025,4,NY,Preliminary,"893,054","3,478,726","7,454,771"
2025,4,OH,Preliminary,"557,906","3,413,786","5,106,401"
2025,4,OK,Preliminary,"183,669","1,380,923","1,905,245"
2025,4,OR,Preliminary,"214,558","1,395,131","1,883,891"
2025,4,PA,Preliminary,"696,996","3,672,584","5,539,160"
2025,4,RI,Preliminary,"61,027","211,222","462,786"
2025,4,SC,Preliminary,"319,617","2,026,742","2,612,363"
2025,4,SD,Preliminary,"50,828","380,070","442,598"
2025,4,TN,Preliminary,"395,921","2,816,975","3,110,738"
2025,4,TX,Preliminary,"1,648,741","10,600,328","12,679,752"
2025,4,UT,Preliminary,"93,011","742,948","1,256,054"
2025,4,VA,Preliminary,"438,877","2,844,693","3,691,766"
2025,4,VT,Preliminary,"37,485","161,598","321,731"
2025,4,WA,Preliminary,"385,267","2,955,681","3,407,145"
2025,4,WI,Preliminary,"286,203","1,566,494","2,868,019"
2025,4,WV,Preliminary,"109,951","685,687","867,487"
2025,4,WY,Preliminary,"30,293","232,184","289,276"
2025,3,AK,Preliminary,"47,139","182,761","301,360"
2025,3,AL,Preliminary,"368,526","2,232,980","2,418,175"
2025,3,AR,Preliminary,"181,644","1,446,061","1,490,648"
2025,3,AZ,Preliminary,"344,516","2,267,516","3,144,739"
2025,3,CA,Preliminary,"1,886,304","5,819,448","14,179,038"
2025,3,CO,Preliminary,"235,290","1,554,050","2,509,761"
2025,3,CT,Preliminary,"327,211","1,005,396","1,565,857"
2025,3,DC,Preliminary,"42,013","205,933","324,371"
2025,3,DE,Preliminary,"74,447","445,877","475,011"
2025,3,FL,Preliminary,"1,367,807","9,062,164","10,549,441"
2025,3,GA,Preliminary,"612,919","4,166,168","4,842,372"
2025,3,HI,Preliminary,"87,249","212,251","447,751"
2025,3,IA,Preliminary,"153,173","1,220,750","1,471,357"
2025,3,ID,Preliminary,"95,627","826,928","881,077"
2025,3,IL,Preliminary,"589,473","3,351,404","5,373,419"
2025,3,IN,Preliminary,"422,264","2,556,562","3,009,443"
2025,3,KS,Preliminary,"131,827","922,500","1,341,840"
2025,3,KY,Preliminary,"281,324","2,097,681","2,020,450"
2025,3,LA,Preliminary,"266,902","2,062,367","2,163,232"
2025,3,MA,Preliminary,"501,992","1,662,536","2,888,749"
2025,3,MD,Preliminary,"398,300","2,102,058","2,461,079"
2025,3,ME,Preliminary,"130,337","461,126","736,834"
2025,3,MI,Preliminary,"502,300","2,592,566","4,543,327"
