Date,state,PMDI
200101,AL,-1.85
200102,AL,-2.37
200103,AL,0.21
200104,AL,-0.4
200105,AL,-0.31
200106,AL,1.78
200107,AL,0.8
200108,AL,1.71
200109,AL,2.04
200110,AL,2.25
200111,AL,1.54
200112,AL,0.62
200201,AL,0.39
200202,AL,-0.99
200203,AL,-1.03
200204,AL,-1.82
200205,AL,-1.75
200206,AL,-1.68
200207,AL,-1.65
200208,AL,-1.92
200209,AL,0.67
200210,AL,1.77
200211,AL,2.11
200212,AL,2.38
200301,AL,0.32
200302,AL,1.22
200303,AL,-0.17
200304,AL,0.55
200305,AL,2.54
200306,AL,3.75
200307,AL,4.34
200308,AL,4.61
200309,AL,4.38
200310,AL,3.59
200311,AL,3.53
200312,AL,2.33
200401,AL,0.84
200402,AL,1.89
200403,AL,-0.92
200404,AL,-1.58
200405,AL,-1.59
200406,AL,1.19
200407,AL,0.64
200408,AL,1.21
200409,AL,2.1
200410,AL,2.37
200411,AL,3.46
200412,AL,3.07
200501,AL,1.02
200502,AL,0.49
200503,AL,0.15
200504,AL,1.61
200505,AL,0.7
200506,AL,2.09
200507,AL,3.23
200508,AL,3.65
200509,AL,3.12
200510,AL,1.56
200511,AL,0.96
200512,AL,0.21
200601,AL,-0.1
200602,AL,-0.19
200603,AL,-1.62
200604,AL,-2.16
200605,AL,-1.71
200606,AL,-2.39
200607,AL,-3.12
200608,AL,-3.37
200609,AL,-3.19
200610,AL,-1.29
200611,AL,-0.27
200612,AL,-0.73
200701,AL,-1.07
200702,AL,-2.24
200703,AL,-3.52
200704,AL,-3.4
200705,AL,-4.23
200706,AL,-4.57
200707,AL,-4.4
200708,AL,-5.05
200709,AL,-5.02
200710,AL,-4.23
200711,AL,-4.36
200712,AL,-4.37
200801,AL,-4.19
200802,AL,-3.38
200803,AL,-3.86
200804,AL,-3.58
200805,AL,-2.9
200806,AL,-3.29
200807,AL,-3.54
200808,AL,0.2
200809,AL,-0.83
200810,AL,-0.27
200811,AL,-0.37
200812,AL,0.66
200901,AL,0.29
200902,AL,-0.38
200903,AL,0.86
200904,AL,0.68
200905,AL,2.07
200906,AL,0.49
200907,AL,0.47
200908,AL,1.32
200909,AL,2.58
200910,AL,4
200911,AL,3.9
200912,AL,5.14
201001,AL,5.04
201002,AL,4.12
201003,AL,3.13
201004,AL,1.38
201005,AL,2.16
201006,AL,0.87
201007,AL,-1.16
201008,AL,-1.63
201009,AL,-2.51
201010,AL,-2.47
201011,AL,-1.88
201012,AL,-2.67
201101,AL,-2.65
201102,AL,-2.91
201103,AL,-1.64
201104,AL,-1.55
201105,AL,-2.64
201106,AL,-2.99
201107,AL,-3.02
201108,AL,-3.87
201109,AL,-1.19
201110,AL,-1.79
201111,AL,-1.46
201112,AL,-1.29
201201,AL,-1.04
201202,AL,-1.44
201203,AL,-2.38
201204,AL,-3.08
201205,AL,-3.05
201206,AL,-2.8
201207,AL,-2.64
201208,AL,-0.85
201209,AL,0.65
201210,AL,1.21
201211,AL,-0.12
201212,AL,0.67
201301,AL,1
201302,AL,1.99
201303,AL,0.46
201304,AL,0.83
201305,AL,0.84
201306,AL,1.73
201307,AL,2.87
201308,AL,3.3
201309,AL,2.92
201310,AL,1.97
201311,AL,1.57
201312,AL,2.72
201401,AL,0.99
201402,AL,1.17
201403,AL,0.67
201404,AL,2.64
201405,AL,2.44
201406,AL,2.56
201407,AL,1.33
201408,AL,0.26
201409,AL,-1.14
201410,AL,-0.33
201411,AL,-0.66
201412,AL,-0.09
201501,AL,-0.52
201502,AL,-0.74
201503,AL,-1.3
201504,AL,0.19
201505,AL,0.25
201506,AL,-0.51
201507,AL,-1.26
201508,AL,-0.65
201509,AL,-1.3
201510,AL,-1.24
201511,AL,0.68
201512,AL,2.33
201601,AL,1.4
201602,AL,1.5
201603,AL,0.35
201604,AL,0.58
201605,AL,-0.88
201606,AL,-1.1
201607,AL,-1.67
201608,AL,-1.76
201609,AL,-2.6
201610,AL,-3.51
201611,AL,-3.88
201612,AL,-3.79
201701,AL,-1.09
201702,AL,-2.17
201703,AL,-3.15
201704,AL,-3.24
201705,AL,-0.65
201706,AL,3.21
201707,AL,2.78
201708,AL,3.36
201709,AL,3.01
201710,AL,3.83
201711,AL,1.64
201712,AL,0.7
201801,AL,-1.1
201802,AL,-0.37
201803,AL,-1.58
201804,AL,-0.75
201805,AL,-0.32
201806,AL,-0.22
201807,AL,-0.84
201808,AL,-0.45
201809,AL,0.33
201810,AL,0.14
201811,AL,0.96
201812,AL,2.92
201901,AL,2.87
201902,AL,2.68
201903,AL,0.57
201904,AL,1.1
201905,AL,0.02
201906,AL,0
201907,AL,-1.14
201908,AL,-0.91
201909,AL,-2.41
201910,AL,0.35
201911,AL,0.31
201912,AL,1.19
202001,AL,1.7
202002,AL,2.99
202003,AL,1.86
202004,AL,2.71
202005,AL,2.2
202006,AL,2.51
202007,AL,2.13
202008,AL,2.52
202009,AL,3.05
202010,AL,3.6
202011,AL,2.39
202012,AL,1.43
202101,AL,0.22
202102,AL,-0.46
202103,AL,0.11
202104,AL,0.4
202105,AL,0.74
202106,AL,2.98
202107,AL,3.52
202108,AL,4.43
202109,AL,4.56
202110,AL,4.84
202111,AL,2.89
202112,AL,1.82
202201,AL,1.39
202202,AL,1.31
202203,AL,1.34
202204,AL,1.43
202205,AL,1.4
202206,AL,0.34
202207,AL,-0.07
202208,AL,1.01
202209,AL,0.01
202210,AL,0
202211,AL,0.32
202212,AL,-0.05
202301,AL,0.47
202302,AL,-0.38
202303,AL,-0.77
202304,AL,-0.58
202305,AL,-0.65
202306,AL,0.58
202307,AL,0.62
202308,AL,0.41
202309,AL,-0.76
202310,AL,-1.21
202311,AL,-1.53
202312,AL,-1.93
200101,AK,
200102,AK,
200103,AK,
200104,AK,
200105,AK,
200106,AK,
200107,AK,
200108,AK,
200109,AK,
200110,AK,
200111,AK,
200112,AK,
200201,AK,
200202,AK,
200203,AK,
200204,AK,
200205,AK,
200206,AK,
200207,AK,
200208,AK,
200209,AK,
200210,AK,
200211,AK,
200212,AK,
200301,AK,
200302,AK,
200303,AK,
200304,AK,
200305,AK,
200306,AK,
200307,AK,
200308,AK,
200309,AK,
200310,AK,
200311,AK,
200312,AK,
200401,AK,
200402,AK,
200403,AK,
200404,AK,
200405,AK,
200406,AK,
200407,AK,
200408,AK,
200409,AK,
200410,AK,
200411,AK,
200412,AK,
200501,AK,
200502,AK,
200503,AK,
200504,AK,
200505,AK,
200506,AK,
200507,AK,
200508,AK,
200509,AK,
200510,AK,
200511,AK,
200512,AK,
200601,AK,
200602,AK,
200603,AK,
200604,AK,
200605,AK,
200606,AK,
200607,AK,
200608,AK,
200609,AK,
200610,AK,
200611,AK,
200612,AK,
200701,AK,
200702,AK,
200703,AK,
200704,AK,
200705,AK,
200706,AK,
200707,AK,
200708,AK,
200709,AK,
200710,AK,
200711,AK,
200712,AK,
200801,AK,
200802,AK,
200803,AK,
200804,AK,
200805,AK,
200806,AK,
200807,AK,
200808,AK,
200809,AK,
200810,AK,
200811,AK,
200812,AK,
200901,AK,
200902,AK,
200903,AK,
200904,AK,
200905,AK,
200906,AK,
200907,AK,
200908,AK,
200909,AK,
200910,AK,
200911,AK,
200912,AK,
201001,AK,
201002,AK,
201003,AK,
201004,AK,
201005,AK,
201006,AK,
201007,AK,
201008,AK,
201009,AK,
201010,AK,
201011,AK,
201012,AK,
201101,AK,
201102,AK,
201103,AK,
201104,AK,
201105,AK,
201106,AK,
201107,AK,
201108,AK,
201109,AK,
201110,AK,
201111,AK,
201112,AK,
201201,AK,
201202,AK,
201203,AK,
201204,AK,
201205,AK,
201206,AK,
201207,AK,
201208,AK,
201209,AK,
201210,AK,
201211,AK,
201212,AK,
201301,AK,
201302,AK,
201303,AK,
201304,AK,
201305,AK,
201306,AK,
201307,AK,
201308,AK,
201309,AK,
201310,AK,
201311,AK,
201312,AK,
201401,AK,
201402,AK,
201403,AK,
201404,AK,
201405,AK,
201406,AK,
201407,AK,
201408,AK,
201409,AK,
201410,AK,
201411,AK,
201412,AK,
201501,AK,
201502,AK,
201503,AK,
201504,AK,
201505,AK,
201506,AK,
201507,AK,
201508,AK,
201509,AK,
201510,AK,
201511,AK,
201512,AK,
201601,AK,
201602,AK,
201603,AK,
201604,AK,
201605,AK,
201606,AK,
201607,AK,
201608,AK,
201609,AK,
201610,AK,
201611,AK,
201612,AK,
201701,AK,
201702,AK,
201703,AK,
201704,AK,
201705,AK,
201706,AK,
201707,AK,
201708,AK,
201709,AK,
201710,AK,
201711,AK,
201712,AK,
201801,AK,
201802,AK,
201803,AK,
201804,AK,
201805,AK,
201806,AK,
201807,AK,
201808,AK,
201809,AK,
201810,AK,
201811,AK,
201812,AK,
201901,AK,
201902,AK,
201903,AK,
201904,AK,
201905,AK,
201906,AK,
201907,AK,
201908,AK,
201909,AK,
201910,AK,
201911,AK,
201912,AK,
202001,AK,
202002,AK,
202003,AK,
202004,AK,
202005,AK,
202006,AK,
202007,AK,
202008,AK,
202009,AK,
202010,AK,
202011,AK,
202012,AK,
202101,AK,
202102,AK,
202103,AK,
202104,AK,
202105,AK,
202106,AK,
202107,AK,
202108,AK,
202109,AK,
202110,AK,
202111,AK,
202112,AK,
202201,AK,
202202,AK,
202203,AK,
202204,AK,
202205,AK,
202206,AK,
202207,AK,
202208,AK,
202209,AK,
202210,AK,
202211,AK,
202212,AK,
202301,AK,
202302,AK,
202303,AK,
202304,AK,
202305,AK,
202306,AK,
202307,AK,
202308,AK,
202309,AK,
202310,AK,
202311,AK,
202312,AK,
200101,AZ,0.73
200102,AZ,0.85
200103,AZ,0.75
200104,AZ,1.49
200105,AZ,1.56
200106,AZ,0.78
200107,AZ,-0.19
200108,AZ,-0.61
200109,AZ,-1.39
200110,AZ,-1.81
200111,AZ,-2.22
200112,AZ,-2.21
200201,AZ,-2.69
200202,AZ,-3.27
200203,AZ,-3.76
200204,AZ,-4.54
200205,AZ,-5.05
200206,AZ,-5.61
200207,AZ,-5.67
200208,AZ,-6.2
200209,AZ,-4.47
200210,AZ,-4.19
200211,AZ,-4.18
200212,AZ,-4.11
200301,AZ,-4.69
200302,AZ,-2.67
200303,AZ,-2.34
200304,AZ,-2.08
200305,AZ,-3
200306,AZ,-3.58
200307,AZ,-3.93
200308,AZ,-3.88
200309,AZ,-3.7
200310,AZ,-4.02
200311,AZ,-3.01
200312,AZ,-3.45
200401,AZ,-3.48
200402,AZ,-3.07
200403,AZ,-3.55
200404,AZ,-3
200405,AZ,-3.67
200406,AZ,-4.07
200407,AZ,-4.31
200408,AZ,-4.37
200409,AZ,-3.17
200410,AZ,-0.85
200411,AZ,1
200412,AZ,1.7
200501,AZ,2.93
200502,AZ,4.34
200503,AZ,3.95
200504,AZ,4.17
200505,AZ,5.1
200506,AZ,5.44
200507,AZ,3.8
200508,AZ,3.85
200509,AZ,1.88
200510,AZ,1.39
200511,AZ,-0.41
200512,AZ,-2.1
200601,AZ,-2.87
200602,AZ,-3.64
200603,AZ,-3.18
200604,AZ,-3.55
200605,AZ,-4.28
200606,AZ,-4.65
200607,AZ,-3.26
200608,AZ,-3.05
200609,AZ,-2.07
200610,AZ,-1.22
200611,AZ,-2.51
200612,AZ,-3.1
200701,AZ,-3.03
200702,AZ,-3.24
200703,AZ,-3.5
200704,AZ,-4.07
200705,AZ,-4.48
200706,AZ,-4.94
200707,AZ,-3.91
200708,AZ,-4.11
200709,AZ,-3.95
200710,AZ,-4.24
200711,AZ,-4.28
200712,AZ,-2.24
200801,AZ,-0.34
200802,AZ,0.3
200803,AZ,-0.85
200804,AZ,-1.45
200805,AZ,-0.38
200806,AZ,0.06
200807,AZ,0.9
200808,AZ,0.97
200809,AZ,-0.01
200810,AZ,-0.77
200811,AZ,-0.81
200812,AZ,0.05
200901,AZ,-0.67
200902,AZ,-0.7
200903,AZ,-1.71
200904,AZ,-2.37
200905,AZ,-2.44
200906,AZ,-2.58
200907,AZ,-3.11
200908,AZ,-4.06
200909,AZ,-4.16
200910,AZ,-4.3
200911,AZ,-4.56
200912,AZ,-3.91
201001,AZ,-0.16
201002,AZ,0.94
201003,AZ,1.22
201004,AZ,1.52
201005,AZ,2.02
201006,AZ,2.32
201007,AZ,2.29
201008,AZ,1.36
201009,AZ,-0.37
201010,AZ,0.19
201011,AZ,-0.91
201012,AZ,-0.67
201101,AZ,-1.39
201102,AZ,-1.17
201103,AZ,-1.8
201104,AZ,-2.3
201105,AZ,-2.54
201106,AZ,-3.09
201107,AZ,-2.91
201108,AZ,-3.48
201109,AZ,-3.12
201110,AZ,-3.11
201111,AZ,-2.62
201112,AZ,-1.7
201201,AZ,-2.68
201202,AZ,-2.94
201203,AZ,-3.11
201204,AZ,-3.67
201205,AZ,-4.24
201206,AZ,-4.75
201207,AZ,-3.13
201208,AZ,-2.82
201209,AZ,-2.82
201210,AZ,-3.6
201211,AZ,-3.93
201212,AZ,-3.2
201301,AZ,-2.35
201302,AZ,-2.56
201303,AZ,-3.1
201304,AZ,-3.48
201305,AZ,-3.71
201306,AZ,-4.09
201307,AZ,-2.22
201308,AZ,-1.56
201309,AZ,-0.12
201310,AZ,-0.98
201311,AZ,0.59
201312,AZ,-0.17
201401,AZ,-1.74
201402,AZ,-3.06
201403,AZ,-3.4
201404,AZ,-3.97
201405,AZ,-4.49
201406,AZ,-5.06
201407,AZ,-4.65
201408,AZ,-2.33
201409,AZ,0.12
201410,AZ,-0.64
201411,AZ,-1.78
201412,AZ,-1.35
201501,AZ,-0.5
201502,AZ,-1.44
201503,AZ,-1.93
201504,AZ,-2.67
201505,AZ,-1.78
201506,AZ,-1.24
201507,AZ,-0.75
201508,AZ,-0.86
201509,AZ,-0.65
201510,AZ,0.84
201511,AZ,0.72
201512,AZ,-0.4
201601,AZ,0.36
201602,AZ,-1.06
201603,AZ,-2.06
201604,AZ,-2.24
201605,AZ,-2.4
201606,AZ,-2.77
201607,AZ,-3.04
201608,AZ,-1.91
201609,AZ,-1.3
201610,AZ,-2.49
201611,AZ,-2.34
201612,AZ,-0.95
201701,AZ,0.77
201702,AZ,0.91
201703,AZ,-0.59
201704,AZ,-1.38
201705,AZ,-1.12
201706,AZ,-1.68
201707,AZ,0.61
201708,AZ,-0.93
201709,AZ,-1.67
201710,AZ,-2.41
201711,AZ,-3.21
201712,AZ,-3.75
201801,AZ,-4.15
201802,AZ,-4.04
201803,AZ,-4.35
201804,AZ,-5.24
201805,AZ,-5.64
201806,AZ,-5.85
201807,AZ,-4.17
201808,AZ,-4.08
201809,AZ,-4.54
201810,AZ,-0.78
201811,AZ,-1.38
201812,AZ,-1.85
201901,AZ,-1.22
201902,AZ,1.45
201903,AZ,1.53
201904,AZ,1.36
201905,AZ,1.96
201906,AZ,2.05
201907,AZ,-0.23
201908,AZ,-1.91
201909,AZ,-0.86
201910,AZ,-1.94
201911,AZ,1.48
201912,AZ,1.74
202001,AZ,0.6
202002,AZ,0.6
202003,AZ,1.87
202004,AZ,1.83
202005,AZ,2.06
202006,AZ,1.43
202007,AZ,-1.21
202008,AZ,-2.57
202009,AZ,-3.39
202010,AZ,-3.91
202011,AZ,-4.15
202012,AZ,-4.33
202101,AZ,-3.91
202102,AZ,-4.23
202103,AZ,-4.13
202104,AZ,-4.67
202105,AZ,-5.19
202106,AZ,-5.59
202107,AZ,-1.56
202108,AZ,-1.4
202109,AZ,-1.21
202110,AZ,-1.14
202111,AZ,-2.66
202112,AZ,-1.88
202201,AZ,-2.71
202202,AZ,-3.28
202203,AZ,-3.44
202204,AZ,-4.16
202205,AZ,-4.74
202206,AZ,-4.67
202207,AZ,-3.67
202208,AZ,-1.57
202209,AZ,-1.2
202210,AZ,-0.51
202211,AZ,-0.73
202212,AZ,-0.31
202301,AZ,1.3
202302,AZ,1.49
202303,AZ,2.16
202304,AZ,1.74
202305,AZ,2.34
202306,AZ,2.37
202307,AZ,-0.55
202308,AZ,-1.39
202309,AZ,-1.34
202310,AZ,-1.95
202311,AZ,-2.19
202312,AZ,-2.29
200101,AR,-0.38
200102,AR,1.87
200103,AR,1.02
200104,AR,-1.12
200105,AR,-1.04
200106,AR,-1.12
200107,AR,-1.49
200108,AR,-1.7
200109,AR,-1.39
200110,AR,0.49
200111,AR,0.94
200112,AR,1.97
200201,AR,1.72
200202,AR,0.58
200203,AR,2.57
200204,AR,1.02
200205,AR,1.53
200206,AR,0.36
200207,AR,0.23
200208,AR,0.11
200209,AR,-0.63
200210,AR,-0.18
200211,AR,-0.93
200212,AR,0.83
200301,AR,-0.83
200302,AR,0.69
200303,AR,-0.92
200304,AR,-1.49
200305,AR,-0.21
200306,AR,1.09
200307,AR,1.16
200308,AR,1.03
200309,AR,1.07
200310,AR,-0.2
200311,AR,-0.31
200312,AR,-0.63
200401,AR,-0.74
200402,AR,-0.58
200403,AR,-0.81
200404,AR,0.42
200405,AR,-0.43
200406,AR,0.83
200407,AR,1.41
200408,AR,1.62
200409,AR,-0.86
200410,AR,1.69
200411,AR,2.86
200412,AR,1.85
200501,AR,2.29
200502,AR,0.99
200503,AR,-0.11
200504,AR,-0.63
200505,AR,-1.64
200506,AR,-2.2
200507,AR,-2.25
200508,AR,-2.4
200509,AR,-1.85
200510,AR,-2.86
200511,AR,-3.19
200512,AR,-4.08
200601,AR,-4.01
200602,AR,-4.01
200603,AR,-3.62
200604,AR,-3.58
200605,AR,-3.61
200606,AR,-3.64
200607,AR,-3.79
200608,AR,-3.52
200609,AR,-2.47
200610,AR,-1.36
200611,AR,-0.83
200612,AR,0.32
200701,AR,1.78
200702,AR,0.45
200703,AR,-1.67
200704,AR,-1.62
200705,AR,-1.97
200706,AR,-1.88
200707,AR,0.21
200708,AR,-1.51
200709,AR,-0.92
200710,AR,0
200711,AR,-1.48
200712,AR,-0.61
200801,AR,-1.53
200802,AR,-0.77
200803,AR,1.4
200804,AR,2.28
200805,AR,1.63
200806,AR,1.38
200807,AR,0.6
200808,AR,2.52
200809,AR,3.73
200810,AR,3.81
200811,AR,2.69
200812,AR,2.56
200901,AR,1.6
200902,AR,0.32
200903,AR,0.34
200904,AR,0.52
200905,AR,2.97
200906,AR,1.49
200907,AR,3.21
200908,AR,3.36
200909,AR,4.77
200910,AR,7.82
200911,AR,5.75
200912,AR,6.64
201001,AR,6.01
201002,AR,5.1
201003,AR,3.34
201004,AR,1.61
201005,AR,1.58
201006,AR,-0.02
201007,AR,-0.38
201008,AR,-1.99
201009,AR,-2.17
201010,AR,-2.71
201011,AR,-2.71
201012,AR,-3.33
201101,AR,-3.75
201102,AR,-3.27
201103,AR,-3.68
201104,AR,0.09
201105,AR,2.09
201106,AR,0.05
201107,AR,-2.1
201108,AR,-2.04
201109,AR,-2.42
201110,AR,-2.64
201111,AR,-0.49
201112,AR,1.43
201201,AR,0.68
201202,AR,-0.07
201203,AR,0.29
201204,AR,-1.07
201205,AR,-2.7
201206,AR,-3.36
201207,AR,-4.01
201208,AR,-3.47
201209,AR,-2.37
201210,AR,-2.03
201211,AR,-3.11
201212,AR,-3.16
201301,AR,-1.54
201302,AR,-1.21
201303,AR,-1.59
201304,AR,-0.89
201305,AR,0.04
201306,AR,-0.28
201307,AR,0.29
201308,AR,0.86
201309,AR,0.66
201310,AR,0.98
201311,AR,0.85
201312,AR,1.25
201401,AR,-0.25
201402,AR,-0.75
201403,AR,-0.62
201404,AR,0.3
201405,AR,0.52
201406,AR,1.19
201407,AR,1.69
201408,AR,1.86
201409,AR,0.94
201410,AR,1.78
201411,AR,0.93
201412,AR,-0.1
201501,AR,-0.38
201502,AR,-0.67
201503,AR,0.98
201504,AR,1.07
201505,AR,2.36
201506,AR,1.96
201507,AR,2.2
201508,AR,2.05
201509,AR,0.03
201510,AR,-0.17
201511,AR,2.35
201512,AR,3.18
201601,AR,1.72
201602,AR,0.2
201603,AR,2.75
201604,AR,2.68
201605,AR,2.09
201606,AR,1
201607,AR,1.13
201608,AR,2.89
201609,AR,1.32
201610,AR,-0.53
201611,AR,-1.66
201612,AR,-1.82
201701,AR,-1.94
201702,AR,-2.33
