Date,state,precipitation (inch)
200101,AL,4.69
200102,AL,4.11
200103,AL,10.11
200104,AL,3.88
200105,AL,4.03
200106,AL,7.15
200107,AL,3.95
200108,AL,5.48
200109,AL,4.8
200110,AL,3.27
200111,AL,3.43
200112,AL,4.14
200201,AL,5.11
200202,AL,2.99
200203,AL,5.79
200204,AL,2.19
200205,AL,4.09
200206,AL,3.77
200207,AL,5.38
200208,AL,3.24
200209,AL,7.57
200210,AL,5.58
200211,AL,4.88
200212,AL,6.54
200301,AL,2.33
200302,AL,6.76
200303,AL,4.67
200304,AL,6.41
200305,AL,8.49
200306,AL,8.17
200307,AL,7.74
200308,AL,5.7
200309,AL,3.7
200310,AL,1.61
200311,AL,4.67
200312,AL,3.47
200401,AL,3.27
200402,AL,7.06
200403,AL,2.28
200404,AL,3.37
200405,AL,4
200406,AL,7.53
200407,AL,4.43
200408,AL,4.48
200409,AL,6.63
200410,AL,3.87
200411,AL,8.12
200412,AL,4.84
200501,AL,2.86
200502,AL,4.96
200503,AL,5.85
200504,AL,7.6
200505,AL,2.8
200506,AL,6.37
200507,AL,9.19
200508,AL,6.01
200509,AL,3.29
200510,AL,0.61
200511,AL,3.59
200512,AL,3.95
200601,AL,5.23
200602,AL,5.05
200603,AL,2.97
200604,AL,3.07
200605,AL,4.41
200606,AL,2.01
200607,AL,3.33
200608,AL,3.91
200609,AL,3.53
200610,AL,5.13
200611,AL,4.84
200612,AL,4.06
200701,AL,4.34
200702,AL,2.64
200703,AL,1.56
200704,AL,3.91
200705,AL,0.73
200706,AL,2.78
200707,AL,5.2
200708,AL,2.67
200709,AL,3.11
200710,AL,3.92
200711,AL,2.75
200712,AL,4.25
200801,AL,4.09
200802,AL,5.79
200803,AL,4.01
200804,AL,4.53
200805,AL,4.43
200806,AL,2.69
200807,AL,4.04
200808,AL,8.89
200809,AL,1.65
200810,AL,3.02
200811,AL,3.15
200812,AL,6.78
200901,AL,4.42
200902,AL,3.85
200903,AL,8.98
200904,AL,4.45
200905,AL,8.51
200906,AL,2.71
200907,AL,5.59
200908,AL,5.49
200909,AL,7.57
200910,AL,7.18
200911,AL,4.39
200912,AL,10.63
201001,AL,6.21
201002,AL,4.22
201003,AL,5.07
201004,AL,2.82
201005,AL,6.15
201006,AL,3.26
201007,AL,3.5
201008,AL,4.83
201009,AL,1.61
201010,AL,2.59
201011,AL,4.73
201012,AL,2.2
201101,AL,4.03
201102,AL,3.49
201103,AL,8.18
201104,AL,5.08
201105,AL,1.64
201106,AL,3.55
201107,AL,5.52
201108,AL,2.05
201109,AL,7.21
201110,AL,0.79
201111,AL,4.13
201112,AL,5.04
201201,AL,5.44
201202,AL,4.49
201203,AL,5.35
201204,AL,1.89
201205,AL,4.16
201206,AL,4
201207,AL,5.75
201208,AL,6.07
201209,AL,5.35
201210,AL,2.91
201211,AL,1.36
201212,AL,6.61
201301,AL,6.27
201302,AL,8.86
201303,AL,3.83
201304,AL,5.71
201305,AL,4
201306,AL,5.81
201307,AL,8.7
201308,AL,5.5
201309,AL,3.2
201310,AL,1.47
201311,AL,3.42
201312,AL,7.93
201401,AL,2.7
201402,AL,5.75
201403,AL,5.57
201404,AL,9.67
201405,AL,4.27
201406,AL,5.23
201407,AL,3.36
201408,AL,3.25
201409,AL,2.51
201410,AL,4.38
201411,AL,2.98
201412,AL,6.36
201501,AL,4.34
201502,AL,4.05
201503,AL,4.28
201504,AL,7.14
201505,AL,4.32
201506,AL,3.27
201507,AL,4.71
201508,AL,4.94
201509,AL,2.71
201510,AL,2.93
201511,AL,6.8
201512,AL,11.87
201601,AL,4.06
201602,AL,5.85
201603,AL,5.42
201604,AL,5.68
201605,AL,2.14
201606,AL,3.81
201607,AL,4.27
201608,AL,4.58
201609,AL,1.72
201610,AL,0.13
201611,AL,2.3
201612,AL,5.05
201701,AL,9.17
201702,AL,3.7
201703,AL,4.17
201704,AL,4.09
201705,AL,7.01
201706,AL,10.7
201707,AL,5.06
201708,AL,6.07
201709,AL,3.25
201710,AL,6.03
201711,AL,1.05
201712,AL,3.89
201801,AL,2.32
201802,AL,7.27
201803,AL,4.14
201804,AL,5.94
201805,AL,5.52
201806,AL,4.58
201807,AL,4.46
201808,AL,5.03
201809,AL,6.21
201810,AL,2.69
201811,AL,6.29
201812,AL,9.95
201901,AL,6.01
201902,AL,6.21
201903,AL,3.4
201904,AL,6.24
201905,AL,3.59
201906,AL,4.47
201907,AL,4.02
201908,AL,4.99
201909,AL,0.41
201910,AL,7.12
201911,AL,3.24
201912,AL,6.6
202001,AL,7.44
202002,AL,10.37
202003,AL,6.18
202004,AL,7.1
202005,AL,3.64
202006,AL,5.16
202007,AL,5.3
202008,AL,5.78
202009,AL,6
202010,AL,5.11
202011,AL,2.75
202012,AL,3.84
202101,AL,3.72
202102,AL,4.22
202103,AL,8.05
202104,AL,5.55
202105,AL,4.69
202106,AL,8.73
202107,AL,7.49
202108,AL,7.43
202109,AL,4.83
202110,AL,4.6
202111,AL,1.19
202112,AL,4.66
202201,AL,4.83
202202,AL,5.66
202203,AL,7.15
202204,AL,5.56
202205,AL,5
202206,AL,3.3
202207,AL,5.71
202208,AL,6.41
202209,AL,2.23
202210,AL,2.71
202211,AL,4.83
202212,AL,4.46
202301,AL,6.94
202302,AL,4.4
202303,AL,5.39
202304,AL,5.42
202305,AL,3.7
202306,AL,5.66
202307,AL,5.61
202308,AL,4
202309,AL,2.07
202310,AL,1.45
202311,AL,2.77
202312,AL,3.71
200101,AK,4.54
200102,AK,3.03
200103,AK,2.47
200104,AK,2.34
200105,AK,2.27
200106,AK,1.55
200107,AK,4.38
200108,AK,3.96
200109,AK,3.94
200110,AK,4.19
200111,AK,1.96
200112,AK,2.87
200201,AK,3.58
200202,AK,2.53
200203,AK,1.43
200204,AK,1.88
200205,AK,2.28
200206,AK,2.42
200207,AK,2.83
200208,AK,5.25
200209,AK,5.25
200210,AK,5.72
200211,AK,4.45
200212,AK,2.9
200301,AK,2.62
200302,AK,3.28
200303,AK,1.92
200304,AK,1.34
200305,AK,2.31
200306,AK,2.49
200307,AK,3.88
200308,AK,5.18
200309,AK,3.8
200310,AK,4.13
200311,AK,4.42
200312,AK,3.63
200401,AK,2
200402,AK,2.63
200403,AK,2.39
200404,AK,2.49
200405,AK,2.46
200406,AK,1.86
200407,AK,2.58
200408,AK,2.31
200409,AK,5.55
200410,AK,5
200411,AK,4.87
200412,AK,4.6
200501,AK,2.74
200502,AK,2.75
200503,AK,2.54
200504,AK,1.55
200505,AK,2.18
200506,AK,2.23
200507,AK,3.84
200508,AK,4.05
200509,AK,6.5
200510,AK,3.95
200511,AK,4.42
200512,AK,3.61
200601,AK,1.62
200602,AK,2.56
200603,AK,1.39
200604,AK,2.85
200605,AK,1.83
200606,AK,3.03
200607,AK,3.14
200608,AK,6.04
200609,AK,4.94
200610,AK,6.04
200611,AK,1.37
200612,AK,3.9
200701,AK,3.29
200702,AK,0.99
200703,AK,1.88
200704,AK,1.74
200705,AK,1.91
200706,AK,1.96
200707,AK,3.49
200708,AK,3
200709,AK,5.82
200710,AK,3.93
200711,AK,3.59
200712,AK,2.49
200801,AK,2.82
200802,AK,2.23
200803,AK,2.63
200804,AK,2.51
200805,AK,1.95
200806,AK,2.63
200807,AK,4.55
200808,AK,3.05
200809,AK,4.39
200810,AK,5.05
200811,AK,2.84
200812,AK,2.44
200901,AK,4.05
200902,AK,2.66
200903,AK,2.57
200904,AK,1.51
200905,AK,1.54
200906,AK,2.2
200907,AK,2.66
200908,AK,4.66
200909,AK,4.1
200910,AK,3.57
200911,AK,3.35
200912,AK,2.34
201001,AK,1.93
201002,AK,1.6
201003,AK,2.61
201004,AK,1.79
201005,AK,1.16
201006,AK,2.71
201007,AK,4.56
201008,AK,3.98
201009,AK,3.19
201010,AK,4.18
201011,AK,4.29
201012,AK,1.85
201101,AK,2.56
201102,AK,2.86
201103,AK,0.83
201104,AK,1.65
201105,AK,1.39
201106,AK,2.58
201107,AK,3.7
201108,AK,6.06
201109,AK,5.01
201110,AK,4.16
201111,AK,3.28
201112,AK,4.66
201201,AK,2.79
201202,AK,2.74
201203,AK,1.82
201204,AK,1.05
201205,AK,2.63
201206,AK,2.88
201207,AK,4.21
201208,AK,4.52
201209,AK,7.25
201210,AK,2.95
