Date,State,WindSpeed
200101,AK,4.0
200102,AK,4.0
200103,AK,4.0
200104,AK,3.9
200105,AK,3.9
200106,AK,3.7
200107,AK,3.5
200108,AK,3.5
200109,AK,3.7
200110,AK,3.9
200111,AK,4.0
200112,AK,4.0
200201,AK,4.0
200202,AK,4.0
200203,AK,4.0
200204,AK,3.9
200205,AK,3.9
200206,AK,3.7
200207,AK,3.5
200208,AK,3.5
200209,AK,3.7
200210,AK,3.9
200211,AK,4.0
200212,AK,4.0
200301,AK,4.0
200302,AK,4.0
200303,AK,4.0
200304,AK,3.9
200305,AK,3.9
200306,AK,3.7
200307,AK,3.5
200308,AK,3.5
200309,AK,3.7
200310,AK,3.9
200311,AK,4.0
200312,AK,4.0
200401,AK,4.0
200402,AK,4.0
200403,AK,4.0
200404,AK,3.9
200405,AK,3.9
200406,AK,3.7
200407,AK,3.5
200408,AK,3.5
200409,AK,3.7
200410,AK,3.9
200411,AK,4.0
200412,AK,4.0
200501,AK,4.0
200502,AK,4.0
200503,AK,4.0
200504,AK,3.9
200505,AK,3.9
200506,AK,3.7
200507,AK,3.5
200508,AK,3.5
200509,AK,3.7
200510,AK,3.9
200511,AK,4.0
200512,AK,4.0
200601,AK,4.0
200602,AK,4.0
200603,AK,4.0
200604,AK,3.9
200605,AK,3.9
200606,AK,3.7
200607,AK,3.5
200608,AK,3.5
200609,AK,3.7
200610,AK,3.9
200611,AK,4.0
200612,AK,4.0
200701,AK,4.0
200702,AK,4.0
200703,AK,4.0
200704,AK,3.9
200705,AK,3.9
200706,AK,3.7
200707,AK,3.5
200708,AK,3.5
200709,AK,3.7
200710,AK,3.9
200711,AK,4.0
200712,AK,4.0
200801,AK,4.0
200802,AK,4.0
200803,AK,4.0
200804,AK,3.9
200805,AK,3.9
200806,AK,3.7
200807,AK,3.5
200808,AK,3.5
200809,AK,3.7
200810,AK,3.9
200811,AK,4.0
200812,AK,4.0
200901,AK,4.0
200902,AK,4.0
200903,AK,4.0
200904,AK,3.9
200905,AK,3.9
200906,AK,3.7
200907,AK,3.5
200908,AK,3.5
200909,AK,3.7
200910,AK,3.9
200911,AK,4.0
200912,AK,4.0
201001,AK,4.0
201002,AK,4.0
201003,AK,4.0
201004,AK,3.9
201005,AK,3.9
201006,AK,3.7
201007,AK,3.5
201008,AK,3.5
201009,AK,3.7
201010,AK,3.9
201011,AK,4.0
201012,AK,4.0
201101,AK,4.0
201102,AK,4.0
201103,AK,4.0
201104,AK,3.9
201105,AK,3.9
201106,AK,3.7
201107,AK,3.5
201108,AK,3.5
201109,AK,3.7
201110,AK,3.9
201111,AK,4.0
201112,AK,4.0
201201,AK,4.0
201202,AK,4.0
201203,AK,4.0
201204,AK,3.9
201205,AK,3.9
201206,AK,3.7
201207,AK,3.5
201208,AK,3.5
201209,AK,3.7
